local,X1,X2,X3,X4,X5,X6,X7,X8,P1symprot,P1symcarb,P1symlip,P1volume,P1chlacell,P1STsigma,P1STp,P1STETR,P1density,P1grossPhotocell,P1tauAve,P1MTtauAve,P1MTfvfm,P1mtNPQ
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,7,NC7-5,t,0.000254665,7.07E-07,0.000326011,618.2549446,2.66066418,220,0.05,348228.98,965764.2614,1.19E-09,1783,25878,0.502574371,0.664761905
TNikkoCyphastrea,T,Nikko,Cyphastrea,trenchii,10,8,NC8-5,t,0.00039289,8.14E-07,0.000306645,734.5595599,3.873332624,185,0.05,242686.9775,954808.5402,4.81E-09,1621,26965,0.548810939,0.868888889
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,1,OC1-5,t,0.001289441,3.88E-06,0.001787725,907.6916489,4.882239226,289,0.05,213057.158,155389.2733,7.79E-09,2006,25816,0.274706971,0.996305419
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,2,OC2-5,t,0.000978703,2.03E-06,0.001731137,1261.52989,4.704399207,282,0.05,247641.543,366406.356,5.92E-09,1563,23802,0.360618679,1.344490934
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,3,OC3-5,t,0.002048329,3.56E-06,0.001025261,1115.102877,5.928534856,281,0.05,143183.6905,98200.13306,1.02E-08,2312,25370,0.280967142,1.30758226
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,4,OC4-5,t,0.000974852,2.21E-06,0.001377273,1219.155272,4.761654028,240,0.06,174331.32,282335.7032,5.26E-09,2129,29260,0.241868512,0.75862069
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C40-sp,10,5,OC5-5,t,0.002086496,3.36E-06,0.002323086,1053.976144,10.90757161,271,0.05,102831.6275,228076.2083,4.00E-09,2129,29402,0.235316699,1.095174263
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,6,OC6-5,t,0.000667859,1.50E-06,0.000886624,1627.608984,5.674429587,234,0.07,86254.974,346791.0605,3.96E-09,1542,29346,0.238209983,1.214739517
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,7,OC7-5,t,0.000735619,1.53E-06,0.000992241,1243.561004,4.658318818,263,0.05,105498.6365,412652.2892,3.15E-09,2205,29390,0.274793875,1.205194805
TOffshoreCyphastrea,T,Offshore,Cyphastrea,C3u-sp,10,8,OC8-5,t,0.000838973,1.39E-06,0.000819966,1102.217896,4.746445919,306,0.04,209002.437,366156.8263,5.13E-09,1945,23404,0.341424332,1.008343266
CNikkoPachyseris,C,Nikko,Pachyseris,trenchii,10,1,NPA1-4,t,0.000367516,6.98E-07,0.000206274,474.2593386,2.128038837,193,0.05,182039.6265,1558303.541,1.61E-09,1585,25168,0.552990264,0.844981019
